,Name,Album,Artist,Release_date,Length,Popularity,Track_id,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Valence,Loudness,Speechiness,Tempo,Time_signature
0,Heat Waves,Dreamland (+ Bonus Levels),Glass Animals,2020-08-06,238805,81,02MWAaffLxlfxAUY7c5dvx,0.44,0.761,0.525,6.7e-06,0.0921,0.531,-6.9,0.0944,80.87,4
1,drivers license,drivers license,Olivia Rodrigo,2021-01-08,242013,100,7lPN2DXiMsVn7XUKtOW1CS,0.721,0.585,0.436,1.31e-05,0.105,0.132,-8.761,0.0601,143.874,4
2,Calling My Phone,Calling My Phone,Lil Tjay,2021-02-12,205458,90,5Kskr9LcNYa0tpt5f0ZEJx,0.451,0.907,0.393,1.35e-06,0.135,0.202,-7.636,0.0539,104.949,4
3,WITHOUT YOU,F*CK LOVE (SAVAGE),The Kid LAROI,2020-11-06,161384,93,27OeeYzk6klgBh83TSvGMA,0.213,0.662,0.413,0.0,0.134,0.467,-7.357,0.0299,93.005,4
4,The Business,The Business,TiÃ«sto,2020-09-16,164000,92,6f3Slt0GbA2bPZlz0aIFXN,0.414,0.798,0.62,0.0192,0.112,0.235,-7.079,0.232,120.031,4
5,Save Your Tears,After Hours,The Weeknd,2020-03-20,215626,95,5QO79kh1waicV47BqGRL3g,0.0212,0.68,0.826,1.24e-05,0.543,0.644,-5.487,0.0309,118.051,4
6,Goosebumps - Remix,Goosebumps (Remix),Travis Scott,2021-01-15,162802,88,5uEYRdEIh9Bo4fpjDd4Na9,0.418,0.841,0.593,0.0,0.124,0.808,-7.846,0.0379,124.917,4
7,Mood (feat. iann dior),Mood (feat. iann dior),24kGoldn,2020-07-24,140525,94,3tjFYV6RSFtuktYl3ZtYcq,0.221,0.7,0.722,0.0,0.272,0.756,-3.558,0.0369,90.989,4
8,Up,Up (Instrumental),Cardi B,2021-02-04,156944,72,1M4OcYkxAtu3ErzSgDEfoi,0.0012,0.868,0.795,0.0193,0.0461,0.819,-6.044,0.269,166.0,4
9,Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,2020-03-27,203064,84,5nujrmhLynf4yMoMtj8AQF,0.00883,0.702,0.825,0.0,0.0674,0.915,-3.787,0.0601,102.977,4
10,Good Days,Good Days,SZA,2020-12-25,279204,92,3YJJjQPAbDT7mGpX3WtQ9A,0.499,0.436,0.655,8.1e-06,0.688,0.412,-8.37,0.0583,121.002,4
11,SO DONE,F*CK LOVE (SAVAGE),The Kid LAROI,2020-11-04,126521,73,2gqWRRCXnma9L8xQ1RdemQ,0.232,0.719,0.598,0.0,0.115,0.303,-6.254,0.077,142.592,4
12,Streets,Hot Pink,Doja Cat,2019-11-07,226986,92,60ynsPSSKe6O3sfwRnIBRf,0.208,0.749,0.463,0.0371,0.337,0.19,-8.433,0.0828,90.028,4
13,Head & Heart (feat. MNEK),Head & Heart (feat. MNEK),Joel Corry,2020-07-03,166028,90,6cx06DFPPHchuUAcTxznu9,0.168,0.734,0.874,1.14e-05,0.0489,0.905,-3.158,0.0662,122.953,4
14,Anyone,Anyone,Justin Bieber,2021-01-01,190779,91,31qCy5ZaophVA81wtlwLc4,0.181,0.686,0.538,3.13e-06,0.113,0.584,-8.026,0.0345,115.884,4
15,Blinding Lights,After Hours,The Weeknd,2020-03-20,200040,95,0VjIjW4GlUZAMYd2vXMi3b,0.00146,0.514,0.73,9.54e-05,0.0897,0.334,-5.934,0.0598,171.005,4
16,you broke me first,you broke me first,Tate McRae,2020-04-17,169265,91,45bE4HXI0AwGZXfZtMp8JR,0.785,0.667,0.373,0.0,0.0906,0.0823,-9.389,0.05,124.148,4
17,Fly Away,Fly Away,Tones And I,2020-11-13,178156,82,5ri4zqtWhG07hIuNNDWP76,0.217,0.806,0.513,0.0,0.217,0.503,-6.208,0.0685,124.988,4
18,Paradise (feat. Dermot Kennedy),Paradise,MEDUZA,2020-10-30,167903,90,6ft4hAq6yde8jPZY2i5zLr,0.0689,0.632,0.595,0.0,0.209,0.435,-7.644,0.0401,124.114,4
19,Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,2019-06-07,132780,56,3VT8hOC5vuDXBsHrR53WFh,0.175,0.778,0.695,0.0,0.15,0.472,-6.865,0.0913,149.996,4
20,Booster Seat,Sunlight,Spacey Jane,2020-06-12,268880,71,5th1bFGGaXLM7wDBJpcF06,0.0418,0.629,0.551,1.18e-06,0.108,0.699,-5.402,0.0263,111.961,4
21,We're Good,Future Nostalgia (The Moonlight Edition),Dua Lipa,2021-02-11,165506,84,1diS6nkxMQc3wwC4G1j0bh,0.0319,0.722,0.588,0.0,0.183,0.59,-5.932,0.0544,134.01,4
22,Whoopty,Loyalty Over Royalty,CJ,2021-02-19,123262,69,1t9WgS8FN0534tLBRwbaxO,0.2,0.719,0.648,0.0,0.127,0.66,-7.6,0.125,140.201,4
23,positions,Positions,Ariana Grande,2020-10-30,172324,93,35mvY5S1H3J2QZyna3TFe0,0.468,0.737,0.802,0.0,0.0931,0.682,-4.771,0.0878,144.015,4
24,34+35,Positions,Ariana Grande,2020-10-30,173710,92,6Im9k8u9iIzKMrmV7BWtlF,0.237,0.83,0.585,0.0,0.248,0.485,-6.476,0.094,109.978,4
25,Lasting Lover,Lasting Lover,Sigala,2020-09-04,218358,82,0DmAvNCAK08oCi7miSZUIY,0.197,0.676,0.786,0.0,0.0943,0.483,-4.529,0.0478,125.983,4
26,My Head & My Heart,Heaven & Hell,Ava Max,2020-09-18,174760,83,1KixkQVDUHggZMU9dUobgm,0.0697,0.614,0.934,0.0,0.121,0.436,-3.709,0.07,116.001,4
27,What You Know Bout Love,Shoot For The Stars Aim For The Moon,Pop Smoke,2020-07-03,160000,91,1tkg4EHVoqnhR6iFEXb60y,0.65,0.709,0.548,1.59e-06,0.133,0.543,-8.493,0.353,83.995,4
28,Cover Me In Sunshine,Cover Me In Sunshine,P!nk,2021-02-12,141050,76,6Tio0ZoDeSQnI7EBAqWer2,0.0599,0.476,0.594,0.0,0.0785,0.314,-6.879,0.135,159.702,4
29,"Lemonade (feat. Gunna, Don Toliver & NAV)",B4 The Storm,Internet Money,2020-08-28,195428,86,7hxHWCCAIIxFLCzvDgnQHX,0.25,0.8,0.658,0.0,0.111,0.462,-6.142,0.079,140.042,4
30,Someone You Loved,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,2019-05-17,182160,89,7qEHsqek33rTcFNT9PFqLf,0.751,0.501,0.405,0.0,0.105,0.446,-5.679,0.0319,109.891,4
31,Therefore I Am,Therefore I Am,Billie Eilish,2020-11-12,174321,91,54bFM56PmE4YLRnqpW6Tha,0.218,0.889,0.34,0.13,0.055,0.716,-7.773,0.0697,94.009,4
32,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,2020-08-07,187541,89,4Oun2ylbjFKMPTiaSbbCih,0.0194,0.935,0.454,0.0,0.0824,0.357,-7.509,0.375,133.073,4
33,Best Friend (feat. Doja Cat),Best Friend (feat. Doja Cat),Saweetie,2021-01-07,155883,87,2etHQJxIbV0soyPhelVs9Y,0.00302,0.84,0.766,3.61e-06,0.0684,0.402,-4.12,0.136,94.018,4
34,Martin & Gina,THE GOAT,Polo G,2020-05-15,132832,85,1VLtjHwRWOVJiE5Py7JxoQ,0.345,0.832,0.534,0.0,0.165,0.116,-7.813,0.253,93.924,4
35,Looking for Me,Looking for Me,Paul Woolford,2020-06-24,211452,77,17bGtGqqaXOgVnhnfx5NlE,0.00441,0.641,0.529,0.000862,0.0809,0.449,-11.536,0.0288,121.027,4
36,Afterglow,Afterglow,Ed Sheeran,2020-12-21,185486,89,0E4Y1XIbs8GrAT1YqVy6dq,0.698,0.641,0.324,0.0,0.328,0.273,-5.851,0.0299,110.184,4
37,Your Love (9PM),Your Love (9PM),ATB,2021-01-15,150052,85,5YaskwnGDZFDRipaqzbwQx,0.194,0.669,0.784,6.28e-06,0.115,0.517,-5.603,0.112,125.993,4
38,Prisoner (feat. Dua Lipa),Plastic Hearts,Miley Cyrus,2020-11-27,169333,83,2Oycxb8QbPkpHTo8ZrmG0B,0.0103,0.781,0.67,0.0,0.0761,0.595,-3.912,0.0452,127.99,4
39,test drive,Positions (Deluxe),Ariana Grande,2021-02-19,122174,79,3eZYOQO4UzKrUDYDghtnFw,0.0251,0.698,0.708,0.0,0.124,0.322,-4.943,0.0454,115.036,4
40,Dreams - 2004 Remaster,Rumours (Super Deluxe),Fleetwood Mac,1977-02-04,257800,85,0ofHAoxe9vBkTCp2UQIavz,0.0644,0.828,0.492,0.00428,0.128,0.789,-9.744,0.0276,120.151,4
41,Remember That Night?,Remember That Night?,Sara Kays,2020-11-06,227186,84,1nYzjrdVQ8RpF93M0jPFW7,0.585,0.679,0.61,9.51e-05,0.156,0.554,-10.936,0.0305,123.978,4
42,Holy (feat. Chance The Rapper),Holy,Justin Bieber,2020-09-18,212093,88,5u1n1kITHCxxp8twBcZxWy,0.196,0.673,0.704,0.0,0.0898,0.372,-8.056,0.36,86.919,4
43,SEND IT!,SEND IT!,Hooligan Hefs,2020-11-19,151730,69,3QcKhQwiyrQACTeb2pdi3u,0.41,0.963,0.934,1.44e-05,0.133,0.72,-2.239,0.21,130.044,4
44,Watermelon Sugar,Fine Line,Harry Styles,2019-12-13,174000,89,6UelLqGlWMcVH1E5c4H7lY,0.122,0.548,0.816,0.0,0.335,0.557,-4.209,0.0465,95.39,4
45,Dynamite,BE,BTS,2020-11-20,199053,90,4saklk6nie3yiGePpBwUoc,0.0112,0.746,0.765,0.0,0.0936,0.737,-4.41,0.0993,114.044,4
46,ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,2020-04-17,181733,89,7ytR5pFWmSjzHJIeQkgog4,0.247,0.746,0.69,0.0,0.101,0.497,-7.956,0.164,89.977,4
47,Roses - Imanbek Remix,While The World Was Burning,SAINt JHN,2020-11-20,176867,74,0zLCBJZSiELJf02ucPP9wb,0.0143,0.769,0.719,0.00777,0.359,0.863,-5.472,0.0474,121.955,4
48,Dance Monkey,Dance Monkey,Tones And I,2019-05-10,209754,68,1rgnBhdG2JDFTbYkYRZAku,0.688,0.825,0.593,0.000161,0.17,0.54,-6.401,0.0988,98.078,4
49,willow,evermore,Taylor Swift,2020-12-10,214706,79,3Uo7WG0vmLQ07WB4BDwy7D,0.835,0.392,0.579,0.00179,0.145,0.549,-9.195,0.164,80.961,4
