name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood
Little Talks,My Head Is An Animal,Of Monsters and Men,2ihCaVdNZmnHZWt0fvAM7B,1/01/2012,78,266600,0.457,0.0206,0.757,0,0.146,0.417,-5.177,0.032,102.961,1,4,Happy
"Lola - Live at Providence Civic Center, Providence, RI - September 1979",One for the Road (Live),The Kinks,3JbE6e17yvNdPggjPDrCyO,4/06/1980,53,287333,0.488,0.153,0.777,0.0312,0.825,0.481,-12.658,0.0894,81.437,9,4,Happy
Lonely Boy,What's Wrong with This Picture?,Andrew Gold,6wGMLoEqD2k3RBXFHD0yUp,1976,55,264893,0.588,0.0386,0.598,5.83E-05,0.107,0.866,-13.288,0.0296,123.724,9,4,Happy
Lovely Day,Lean on Me: The Best of Bill Withers,Bill Withers,0ACACkoHUwgfgY5CxVIL4N,9/08/1994,67,255066,0.693,0.194,0.565,0.000175,0.0806,0.692,-12.583,0.0345,97.937,9,4,Happy
Mad About You,The Magnificent Tree,Hooverphonic,5drK2kTE2mrUdV33iHWyrx,2000,62,223733,0.465,0.00109,0.844,0.399,0.0865,0.155,-4.352,0.0379,170.358,1,4,Happy
Me and Julio Down by the Schoolyard,Paul Simon,Paul Simon,6vxHp3CDNo0afgKGp2yi1E,14/01/1972,73,164813,0.626,0.237,0.816,1.80E-06,0.104,0.798,-10.593,0.13,105.33,9,4,Happy
Message In A Bottle - Remastered 2003,Reggatta De Blanc (Remastered),The Police,3bN4tg6rnNPy9GCkGhym4T,2/10/1979,1,290280,0.577,0.0338,0.808,1.33E-05,0.221,0.869,-7.04,0.039,151.008,1,4,Happy
Miss You - Remastered,Some Girls (Deluxe Version),The Rolling Stones,5pTWpY8l7B1XcQnijEFGFj,9/06/1978,53,288666,0.795,0.443,0.71,0.0215,0.344,0.845,-4.746,0.0392,109.689,9,4,Happy
Mr. Blue Sky,Out of the Blue,Electric Light Orchestra,2RlgNHKcydI9sayD2Df2xp,1977,82,303373,0.388,0.652,0.338,3.72E-06,0.248,0.477,-10.054,0.0328,177.784,10,4,Happy
Mr. Jones,August And Everything After,Counting Crows,5DiXcVovI0FcY2s0icWWUu,1/01/1993,77,272293,0.578,0.183,0.817,3.06E-06,0.285,0.726,-6.542,0.0363,141.621,0,4,Happy
My Sharona,Get The Knack,The Knack,1HOMkjp0nHMaTnfAkslCQj,1/01/1979,74,295400,0.586,0.0589,0.7,0.00125,0.0318,0.897,-9.558,0.0363,147.245,0,4,Happy
Need You - Ed. & Gustav Munk Remix,Need You (Remixes),Faustix,4cLXtRF6cIFGcuid2OLyUU,20/09/2019,52,200880,0.656,0.00352,0.723,0,0.345,0.412,-7.693,0.0366,125.005,7,4,Happy
Never Letting Go,Never Letting Go,Audien,5llPdGZJjJFJv9aL6ZaiLY,9/11/2018,58,172519,0.534,0.0915,0.765,0.00107,0.225,0.117,-3.151,0.0338,127.978,1,4,Happy
Night Moves,Night Moves,Bob Seger,6UBjSnyP1O5W5ndJoO9vUk,22/10/1976,71,324422,0.705,0.432,0.743,0.0133,0.103,0.374,-6.631,0.042,118.552,1,4,Happy
Not Alone,Not Alone,Otto Knows,7tx0NDsCViutjOyd1c4A28,25/11/2016,44,215447,0.68,0.00538,0.721,0.000216,0.0679,0.267,-6.21,0.0355,122,7,4,Happy
On My Way (feat. Jordan Kaahn),On My Way (feat. Jordan Kaahn),Robbie Rivera,0kDTkI3VN3LEObv3v3ehhY,20/07/2018,48,218000,0.661,0.0188,0.93,0.00146,0.0919,0.367,-4.208,0.0617,122.052,7,4,Happy
Paradise,Mylo Xyloto,Coldplay,6nek1Nin9q48AVZcWs9e9D,24/10/2011,80,278719,0.449,0.0522,0.585,8.49E-05,0.0833,0.203,-6.762,0.0268,139.627,5,4,Happy
Pink Rupture,Pink Rupture,Kornum & Karma,3L47u91Y7YIGPpLPBrulh0,27/04/2018,51,348907,0.736,0.00178,0.356,0.704,0.0925,0.525,-8.676,0.0405,118.002,4,4,Happy
Pumped Up Kicks,Torches,Foster The People,7w87IxuO7BDcJ3YUqCyMTT,23/05/2011,84,239600,0.733,0.145,0.71,0.115,0.0956,0.965,-5.849,0.0292,127.975,5,4,Happy
Reality,Reality EP,Chocolate Puma,3sqyZAk7dUY3U4ApoJcRzJ,22/10/2018,42,213750,0.651,0.000934,0.836,0.932,0.112,0.0741,-6.154,0.0588,127.986,6,4,Happy
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Honky Chateau,Elton John,3gdewACMIVMEWVbyb8O9sY,19/05/1972,82,281613,0.601,0.432,0.532,6.25E-06,0.0925,0.341,-9.119,0.0286,136.571,10,4,Happy
Roses,Speakerboxxx/The Love Below,OutKast,6bUNEbXT7HovLW6BgPCBsb,2003,72,369573,0.751,0.0481,0.708,1.83E-05,0.107,0.509,-5.645,0.0545,108.97,0,4,Happy
Send It,Send It,Steve Aoki,2GXOmuU3kApsq2TWqOU5Bm,4/10/2019,60,182671,0.646,0.0199,0.979,0.776,0.38,0.091,-5.312,0.101,124.066,4,4,Happy
Send Me on My Way,Music From Party of Five,Various Artists,6hs3SDnbO3f6VQuPO4KBEb,12/11/1996,73,263333,0.5,0.114,0.681,4.01E-05,0.139,0.745,-9.556,0.0672,119.46,0,4,Happy
Seven Nation Army,Elephant,The White Stripes,3m6KkYKdnbffMpGd9Pm9FP,1/04/2003,7,231920,0.745,0.00666,0.466,0.35,0.272,0.303,-7.62,0.0864,123.889,4,4,Happy
Shine,Shine,Manse,6YbVddGFPcfOVJrxhUusbV,2/08/2019,54,163124,0.428,0.0259,0.873,2.64E-05,0.668,0.285,-3.499,0.0566,127.95,10,4,Happy
Should I Stay or Should I Go - Remastered,Hits Back,The Clash,3v8PlUFGQQDBIk1J86waCo,26/08/2013,68,188240,0.742,0.0838,0.844,0,0.418,0.85,-6.441,0.111,113.371,2,4,Happy
Siren Song - Radio Edit,Siren Song,CamelPhat,1uGXhKyK50NIXNqBKN73DS,25/12/2015,39,207301,0.71,0.00891,0.705,0.16,0.177,0.34,-7.417,0.0345,119.986,7,4,Happy
Smile,"Alright, Still (Deluxe)",Lily Allen,79z9QkhHePTFsSeVw9uyj0,14/07/2006,75,196893,0.632,0.00143,0.639,0,0.221,0.733,-5.938,0.0259,95.506,5,4,Happy
Somebody - Josef Bamba Remix Radio Edit,Somebody (Josef Bamba Remixes),Oliver Ingrosso,5riuN21I50r717iOmCJ7Kr,21/07/2017,42,227404,0.67,0.00162,0.88,0,0.261,0.312,-6.419,0.044,121.004,4,4,Happy
Somebody That I Used To Know,Making Mirrors,Gotye,1qDrWA6lyx8cLECdZE7TV7,1/01/2011,77,244884,0.865,0.548,0.521,0.000115,0.0989,0.748,-6.932,0.0371,129.059,0,4,Happy
Someone New,Someone New,Thomas Gold,2GkPTpFLY0NG8jrAHPoSnn,14/06/2019,58,182812,0.655,0.00297,0.794,1.34E-05,0.1,0.389,-5.29,0.0765,127.957,6,4,Happy
Spirit In The Sky,Spirit In The Sky,Norman Greenbaum,7fqhrLJzKHJ0RW32N0y2Gp,1/01/1969,0,242893,0.537,0.0939,0.606,0.00559,0.11,0.582,-7.048,0.0347,128.73,2,4,Happy
Start Me Up - Remastered,Tattoo You (2009 Re-Mastered),The Rolling Stones,7HKez549fwJQDzx3zLjHKC,24/08/1981,77,213066,0.631,0.0436,0.932,0.137,0.0918,0.971,-4.142,0.0354,122.429,5,4,Happy
"Steady, As She Goes",Broken Boy Soldiers,The Raconteurs,2VAlwOewe5c40VHyqozF1V,15/05/2006,1,215266,0.534,0.00865,0.605,0.00826,0.0781,0.56,-4.366,0.113,123.003,9,4,Happy
Story Of A Violin,Story Of A Violin,Sandro Silva,3JjPOBCCKmvtgSsVIDqFDl,7/06/2019,52,154692,0.548,0.0125,0.864,0.287,0.818,0.161,-6.835,0.0881,128.196,11,4,Happy
Streets,Rivals,Kensington,265poZGWCyWo6h5tq7kiA6,8/08/2014,0,185358,0.376,0.000874,0.771,8.98E-06,0.274,0.419,-5.8,0.0422,168.154,6,4,Happy
Stuck In The Middle With You,Reservoir Dogs (Original Motion Picture Soundtrack),Various Artists,1b7LMtXCXGc2EwOIplI35z,1/01/2009,73,203893,0.795,0.0934,0.564,0.000531,0.0631,0.961,-10.482,0.0392,124.166,7,4,Happy
Suds & Soda,Worst Case Scenario,dEUS,0MaUnKwsHKRj4qjLDuBG66,1/01/1994,42,314200,0.149,8.51E-05,0.79,0.000248,0.0903,0.39,-7.93,0.052,170.289,4,4,Happy
Sun In Our Eyes - Don Diablo Remix,Sun In Our Eyes (Don Diablo Remix),MÃ˜,1Cfws8y490Zpsqsyeme6V1,8/08/2018,55,206452,0.699,0.0589,0.861,2.64E-06,0.0794,0.315,-3.09,0.173,125.942,4,3,Happy
Superstition,Number 1's,Stevie Wonder,4dwrL3Z5U2RZ6MZiKE2PgL,1/01/2007,1,244826,0.648,0.0182,0.751,0.000401,0.0418,0.863,-8.582,0.0806,100.437,8,4,Happy
Take Everything,Take Everything,Gareth Emery,2L93hpsnJ8scBHIQFZzh1b,14/12/2018,54,212238,0.506,0.0234,0.823,0.000916,0.303,0.405,-5.272,0.0424,133.954,6,4,Happy
Take on Me,Hunting High and Low,a-ha,2WfaOiMkCvy7F5fcp2zZ8L,1/06/1985,84,225280,0.573,0.018,0.902,0.00125,0.0928,0.876,-7.638,0.054,84.412,6,4,Happy
Talking In Your Sleep,In Heat,The Romantics,7fRvtXvJMpGfTLdF0M09a1,14/02/1983,61,235093,0.72,0.0289,0.967,0.000345,0.142,0.977,-4.434,0.0343,129.766,9,4,Happy
Teardrops - Single Version,Music For Groovin',Various Artists,5HiKQLlJ3LAuz8J9yHB0HX,1/01/2007,60,230573,0.879,0.037,0.693,0.119,0.18,0.966,-10.577,0.046,133.231,11,4,Happy
Teenage Dirtbag,Wheatus,Wheatus,25FTMokYEbEWHEdss5JLZS,15/02/1999,68,241666,0.625,0.346,0.85,0.000233,0.174,0.633,-3.904,0.0495,94.661,4,4,Happy
The Boys Are Back In Town,Jailbreak (Deluxe Edition),Thin Lizzy,2iAq1y8jEVOQM6OA8L0XtO,1976,0,266720,0.319,0.242,0.712,0.000414,0.294,0.773,-9.742,0.0535,78.114,8,4,Happy
The Joker,The Joker,Steve Miller Band,1bp2IO61zbQrbWNmKKxg3f,1/01/1973,77,264503,0.596,0.365,0.448,5.30E-06,0.206,0.796,-9.616,0.0396,83.293,5,4,Happy
The Safety Dance,Greatest,Men Without Hats,5O4NFbDqJ8SOfbjnIhdPDt,11/02/2013,61,164866,0.524,0.0252,0.881,0,0.101,0.62,-4.479,0.0468,101.677,5,4,Happy
Tilted Towers,Tilted Towers,Alesso,5hdAQegqnitMjNacfLOHQd,30/11/2018,50,259475,0.702,0.000771,0.842,0.828,0.28,0.175,-5.059,0.0331,124.01,7,4,Happy
Tubthumping,Tubthumper,Chumbawamba,6dL46HEj2hzaSach8EFyCi,1997,0,279226,0.319,0.118,0.881,0,0.364,0.625,-7.244,0.14,206.941,2,4,Happy
Twist And Shout - Remastered 2009,Please Please Me (Remastered),The Beatles,5ZBeML7Lf3FMEVviTyvi8l,22/03/1963,74,155226,0.482,0.641,0.849,7.74E-06,0.0414,0.937,-9.198,0.0452,124.631,2,4,Happy
Two Princes,Pocket Full Of Kryptonite,Spin Doctors,4ePP9So5xRzspjLFVVbj90,27/08/1991,72,256733,0.543,0.00162,0.912,2.10E-06,0.0565,0.836,-10.71,0.0601,103.731,7,4,Happy
Underwater - Tinlicker Remix,Underwater (Tinlicker Remix),Gabriel & Dresden,7ku9ctunOcfqWP6z04QTRY,1/05/2018,53,239894,0.627,0.0607,0.857,0.835,0.132,0.124,-8.253,0.0402,121.976,7,4,Happy
United,United,Armin van Buuren,27BMhzmPptTnpra962NgQh,31/08/2018,33,217391,0.643,0.0565,0.957,0.841,0.0763,0.281,-5.026,0.0892,138.073,1,4,Happy
Venom,Venom,Dave202,4EvAP7MWnjDMkADXXEuF5t,13/07/2018,42,194500,0.357,0.159,0.851,0.866,0.146,0.241,-6.103,0.0534,130.013,2,4,Happy
Video Killed The Radio Star,The Age Of Plastic,The Buggles,7o7E1nrHWncYY7PY94gCiX,10/01/1980,71,252773,0.68,0.103,0.678,0.00828,0.204,0.251,-11.548,0.0754,131.165,1,4,Happy
Virtual Insanity - Remastered,High Times - The Singles 1992 - 2006,Jamiroquai,0dCr3qIupWh36ilLjRHi4P,6/11/2006,0,228333,0.651,0.13,0.946,0,0.148,0.508,-4.717,0.101,91.911,6,4,Happy
Viva La Vida,Viva La Vida (Prospekt's March Edition),Coldplay,5S6pYZD8WH3OQapDHTDM9M,24/11/2008,56,242373,0.485,0.0941,0.619,3.31E-06,0.109,0.416,-7.115,0.0289,138.017,5,4,Happy
Wait For Me,Wanderlust,Steve Brian,6laq4MxNrh2ZKZGLhB7G0V,7/12/2018,52,217142,0.465,0.00987,0.739,1.88E-06,0.373,0.0652,-7.786,0.0648,125.994,10,4,Happy
Waiting On the World to Change,Continuum,John Mayer,5imShWWzwqfAJ9gXFpGAQh,11/09/2006,74,201173,0.577,0.159,0.756,0.000232,0.249,0.663,-5.82,0.115,176.75,2,4,Happy
War,Rivals,Kensington,3h1in20DlO5KaSP1vLED90,8/08/2014,0,176652,0.641,0.079,0.806,0.00158,0.0708,0.721,-6.281,0.0323,125.987,8,4,Happy
We Are Your Friends - Justice Vs Simian,We Are Your Friends,Simian,49ErwcBYfYRPNBdRuPvpYA,1/01/2006,62,262773,0.615,0.0104,0.97,0.384,0.178,0.507,1.342,0.119,122.993,9,4,Happy
What I Like About You,What I Like About You (And Other Romantic Hits),The Romantics,6NdcSEhpGGAYXNnnhGS2s6,1990,68,175400,0.542,0.319,0.915,5.34E-05,0.171,0.92,-9.637,0.0549,159.81,9,4,Happy
Why Can't We Be Friends?,Why Can't We Be Friends?,War,413T0g8pNNXYX6t5RqHvx7,1/01/1975,58,230066,0.776,0.19,0.714,0,0.506,0.962,-9.044,0.0388,92.448,10,4,Happy
Wonderful Together (feat. Envy Monroe),Wonderful Together (feat. Envy Monroe),Blasterjaxx,3UaStdVN7y9A6ktTmkFDTk,14/06/2019,53,203076,0.591,0.0484,0.759,1.23E-06,0.108,0.235,-3.785,0.0404,130.043,5,4,Happy
Wonderwall,(What's the Story) Morning Glory?,Oasis,79RUMZfMNMpqZnswovvTqv,2/10/1995,15,258906,0.412,0.00214,0.844,0,0.134,0.459,-5.613,0.037,174.452,2,4,Happy
Worlds Collide - Edison Cole Remix,Worlds Collide (Remixes),NERVO,3JqpIjrQfmW68YkpxXWPL4,22/11/2019,55,192413,0.631,0.0149,0.862,6.23E-05,0.103,0.438,-4.114,0.0515,145.01,8,4,Happy
You Can't Rely on My Love,You Can't Rely on My Love,Mordkey,6Nl2wvFyKjiyPKrhE4Rth1,4/05/2018,52,188571,0.686,0.0534,0.775,9.39E-06,0.44,0.454,-7.247,0.185,126.013,11,4,Happy
You Get What You Give,Maybe You've Been Brainwashed Too,New Radicals,32lF1rsInDTdK6Av3KdfaY,1/01/1998,1,300773,0.621,0.17,0.901,0,0.0875,0.744,-5.396,0.0302,113.967,2,4,Happy
You're My Best Friend - Remastered 2011,Queen 40 Limited Edition Collector's Box Set,Queen,4vEXJ6NvEwS8ptynkNswaa,1/01/2011,57,170800,0.518,0.158,0.761,0.00765,0.0715,0.576,-7.025,0.0452,118.738,0,4,Happy
